epoch,loss,acc,f1
1,0.541704185776535,0.8793867120954003,0.893506989625097
2,0.4320245966789132,0.8932197614991482,0.9083134929285426
3,0.4002241215690151,0.8239863713798978,0.8474628164993657
4,0.38074014862156225,0.9159114139693356,0.924586274494822
5,0.3648993361250963,0.9170698466780238,0.9297894271558236
6,0.35162907426399653,0.9194548551959114,0.9295291714512716
7,0.3403071502932383,0.8878364565587734,0.908456472804371
8,0.33206236513197673,0.9223850085178875,0.9348207439245523
9,0.3249386530315107,0.9347189097103918,0.9422575310158682
10,0.3207224224547235,0.9245655877342419,0.935746333381242
