epoch,loss,aux,acc,f1_macro,f1_real,f1_manipulated
1,0.526168141639369,0.0,0.8258943781942079,0.825177083118416,0.8139788860575173,0.8363752801793147
2,0.4492425008614526,0.0,0.781328790459966,0.7813186360298705,0.7828087986463621,0.779828473413379
3,0.4220986958885718,0.0,0.8063373083475298,0.8062557993629285,0.8022818978711562,0.8102297008547008
4,0.40703968660091777,0.0,0.8463373083475298,0.8456489644300613,0.8353413654618473,0.8559565633982753
5,0.39050021972832166,0.0,0.8618739352640545,0.8609441222444597,0.8495732838589981,0.8723149606299213
6,0.37777513767828996,0.0,0.8519931856899489,0.8512446407822762,0.840692386680358,0.8617968948841944
7,0.376252307153367,0.0,0.854787052810903,0.8540625306584337,0.8437797815409428,0.8643452797759247
8,0.36256250103052706,0.0,0.8601703577512777,0.859375929886593,0.8488063660477454,0.8699454937254405
9,0.36443258264647654,0.0,0.852129471890971,0.8515189601402049,0.8419979612640163,0.8610399590163934
10,0.3623977142690309,0.0,0.8665076660988075,0.8655755619920011,0.8543819222478257,0.8767692017361767
