source,condition,covariate,smd
df40_pixart,joint_matched,face_bbox_height,-0.3618492094867016
df40_sd21,pre_match_unmatched,resolution,0.7895522574125452
df40_sd21,pre_match_unmatched,crop_scale,0.969900373802301
df40_sd21,pre_match_unmatched,face_bbox_width,0.959514818113802
df40_sd21,pre_match_unmatched,face_bbox_height,1.2326298763011372
df40_sd21,resolution_matched,resolution,-2.2408192561260183
df40_sd21,resolution_matched,crop_scale,-0.5703415587393472
df40_sd21,resolution_matched,face_bbox_width,-0.5654441439431604
df40_sd21,resolution_matched,face_bbox_height,-0.630152710400479
df40_sd21,facesize_matched,resolution,-0.36553744044176156
df40_sd21,facesize_matched,crop_scale,0.0018712685102278022
df40_sd21,facesize_matched,face_bbox_width,-0.07770953415362584
df40_sd21,facesize_matched,face_bbox_height,0.07856806797760917
df40_sd21,joint_matched,resolution,-0.5715236727320918
df40_sd21,joint_matched,crop_scale,0.03248444616049826
df40_sd21,joint_matched,face_bbox_width,0.11117190301168113
df40_sd21,joint_matched,face_bbox_height,-0.10046522282046287
midjourney,pre_match_unmatched,resolution,2.087970684611031
midjourney,pre_match_unmatched,crop_scale,-0.3585434824038337
midjourney,pre_match_unmatched,face_bbox_width,-0.7115798227756035
midjourney,pre_match_unmatched,face_bbox_height,-0.5069769405067327
midjourney,resolution_matched,resolution,0.5071305725505127
midjourney,resolution_matched,crop_scale,-0.8881828111772133
midjourney,resolution_matched,face_bbox_width,-0.6848562460437917
midjourney,resolution_matched,face_bbox_height,-0.8602334712853625
midjourney,facesize_matched,resolution,1.0889108118615256
midjourney,facesize_matched,crop_scale,-0.02107504271648831
midjourney,facesize_matched,face_bbox_width,-0.03280632828970437
midjourney,facesize_matched,face_bbox_height,-0.02625204971243986
midjourney,joint_matched,resolution,0.987289775727179
midjourney,joint_matched,crop_scale,-0.09752097565982
midjourney,joint_matched,face_bbox_width,-0.25054408192759925
midjourney,joint_matched,face_bbox_height,0.029873177067958234
