evidence_feature,real_source,n,mean,std
freq_spectral_entropy,celeba_test,70,0.17594097383070845,0.057264600419614745
freq_spectral_entropy,lfw,70,0.19314194565703918,0.05336156959791616
freq_spectral_entropy,aiguard_unseen_real,70,0.12872353140387963,0.05213779274248023
freq_band_ratio_high_mid,celeba_test,70,0.08386768041444671,0.0346779717674738
freq_band_ratio_high_mid,lfw,70,0.07443785566304406,0.027006107370711366
freq_band_ratio_high_mid,aiguard_unseen_real,70,0.12132045498916079,0.041845257151817014
freq_band_ratio_high_low,celeba_test,70,0.009245636074670677,0.006348788549931602
freq_band_ratio_high_low,lfw,70,0.007125192651125957,0.0041450040065885195
freq_band_ratio_high_low,aiguard_unseen_real,70,0.0125213464921606,0.009323572090725487
freq_band_ratio_mid_low,celeba_test,70,0.10881865029888489,0.044393549514716156
freq_band_ratio_mid_low,lfw,70,0.0929560783186129,0.027412226936295463
freq_band_ratio_mid_low,aiguard_unseen_real,70,0.09878848248294418,0.04238440889679961
freq_high_energy_frac,celeba_test,70,0.0009551476219452287,0.0007605526152920707
freq_high_energy_frac,lfw,70,0.0008588966645349786,0.0003938907608461965
freq_high_energy_frac,aiguard_unseen_real,70,0.0009305126471319768,0.0006424684183576779
freq_radial_powerlaw_slope,celeba_test,70,-3.8996522092223596,0.3678027320518143
freq_radial_powerlaw_slope,lfw,70,-4.047542738209499,0.21792833654100346
freq_radial_powerlaw_slope,aiguard_unseen_real,70,-3.456091359271852,0.34460032319524697
freq_powerlaw_residual_std,celeba_test,70,1.0001032405281292,0.25607265732873025
freq_powerlaw_residual_std,lfw,70,1.0660004580636964,0.23818702169222913
freq_powerlaw_residual_std,aiguard_unseen_real,70,0.6104764933646875,0.22822793269280903
freq_logmag_mean,celeba_test,70,1.0583415070814746,0.4373840100948497
freq_logmag_mean,lfw,70,0.8751307634370667,0.31264664784008606
freq_logmag_mean,aiguard_unseen_real,70,1.2658242987734931,0.4058208825994076
tex_local_variance_mean,celeba_test,70,233.3002285548619,99.52239356612735
tex_local_variance_mean,lfw,70,279.06715044294083,120.44477030516899
tex_local_variance_mean,aiguard_unseen_real,70,192.3020983832223,84.29025856062457
tex_local_variance_std,celeba_test,70,602.234612601144,266.72895282417124
tex_local_variance_std,lfw,70,791.480396597726,348.8507172582065
tex_local_variance_std,aiguard_unseen_real,70,469.8792526790074,219.16677602379386
tex_lbp_entropy,celeba_test,70,2.028569422624126,0.09694791520187597
tex_lbp_entropy,lfw,70,1.9886065245845483,0.07687125650523707
tex_lbp_entropy,aiguard_unseen_real,70,2.1351011047013304,0.07926473595218565
tex_lbp_uniformity,celeba_test,70,0.161604845175576,0.02799553698560552
tex_lbp_uniformity,lfw,70,0.17011377156763147,0.02111021516994586
tex_lbp_uniformity,aiguard_unseen_real,70,0.13792168156554666,0.019441800512066405
tex_glcm_contrast,celeba_test,70,7.589771039440697,3.114563920766821
tex_glcm_contrast,lfw,70,9.123552058600435,3.8374598597381833
tex_glcm_contrast,aiguard_unseen_real,70,6.149999212669823,2.575063693530821
tex_glcm_homogeneity,celeba_test,70,0.617891634593536,0.061219911662532864
tex_glcm_homogeneity,lfw,70,0.6240727294722194,0.06505742268953854
tex_glcm_homogeneity,aiguard_unseen_real,70,0.6028598406761104,0.06370901517570757
tex_glcm_energy,celeba_test,70,0.1771860499026977,0.07588434410141733
tex_glcm_energy,lfw,70,0.18747337066907466,0.06666181730912922
tex_glcm_energy,aiguard_unseen_real,70,0.13994585979957264,0.044533222943997246
tex_highpass_energy,celeba_test,70,5.873901186670576,1.5589481072089475
tex_highpass_energy,lfw,70,6.0593857049942015,1.5477521025821235
tex_highpass_energy,aiguard_unseen_real,70,5.611310090337481,1.5239371521190541
tex_autocorr_peak_sharpness,celeba_test,70,31.27170738492693,11.003077036474012
tex_autocorr_peak_sharpness,lfw,70,26.771053395952496,7.569800335493893
tex_autocorr_peak_sharpness,aiguard_unseen_real,70,39.63149038042341,12.003542578538717
lm_symmetry_score,celeba_test,69,0.14906818953518197,0.10233508934464927
lm_symmetry_score,lfw,70,0.15420867497367516,0.09001603015108207
lm_symmetry_score,aiguard_unseen_real,70,0.10274311443125561,0.07971397882049049
lm_interocular_over_facewidth,celeba_test,69,0.4298469285696685,0.027803157225513454
lm_interocular_over_facewidth,lfw,70,0.4195709915117321,0.02906905317756521
lm_interocular_over_facewidth,aiguard_unseen_real,70,0.42967488214730515,0.025470352243906404
lm_mouthwidth_over_interocular,celeba_test,69,0.9148101943584872,0.1310357773429051
lm_mouthwidth_over_interocular,lfw,70,0.9085747921798774,0.11894589238739567
lm_mouthwidth_over_interocular,aiguard_unseen_real,70,0.9245372892616225,0.14799346441882957
lm_pose_yaw_proxy,celeba_test,69,0.022094265220389844,0.34719239826445836
lm_pose_yaw_proxy,lfw,70,-0.018916059072528565,0.3211975075409742
lm_pose_yaw_proxy,aiguard_unseen_real,70,-0.051728110607447364,0.21701456357859666
bnd_boundary_edge_contrast,celeba_test,69,69.35677426103233,15.892328621267449
bnd_boundary_edge_contrast,lfw,70,67.38756910051619,15.835821064401253
bnd_boundary_edge_contrast,aiguard_unseen_real,46,56.83530206265657,21.30266182270209
bnd_ring_texture_diff,celeba_test,69,11.010248239489568,8.67234385052085
bnd_ring_texture_diff,lfw,70,15.935139874049595,8.9149247421942
bnd_ring_texture_diff,aiguard_unseen_real,46,14.082671974016273,9.593919286751834
bnd_ring_mean_diff,celeba_test,69,25.219185483628426,17.489865112521596
bnd_ring_mean_diff,lfw,70,19.0489565713065,14.135677773296264
