model,source,filter_type,n_failures,n_total_composites,failure_mode,count,pct_of_failures,pct_of_all_composites
CellC@0.85,DF40-cdf-ddim,smoothing_medium,28,40,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,layer1_real,1,2.5,2.5
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,filter_head_miss,38,95.0,95.0
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,threshold_calibration_miss,1,2.5,2.5
CellC@0.85,DF40-cdf-ddim,whitening_medium,40,40,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,filter_head_miss,43,100.0,100.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,eye_enlarging,43,43,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,filter_head_miss,43,100.0,100.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,face_reshaping,43,43,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,smoothing_medium,43,43,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,smoothing_medium,43,43,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,smoothing_medium,43,43,filter_head_miss,43,100.0,100.0
CellC@0.85,DF40-cdf-pixart,smoothing_medium,43,43,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,smoothing_medium,43,43,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,whitening_medium,43,43,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,whitening_medium,43,43,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,whitening_medium,43,43,filter_head_miss,43,100.0,100.0
CellC@0.85,DF40-cdf-pixart,whitening_medium,43,43,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-pixart,whitening_medium,43,43,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,37,37,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,37,37,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,37,37,filter_head_miss,37,100.0,100.0
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,37,37,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,37,37,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,37,37,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,37,37,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,37,37,filter_head_miss,37,100.0,100.0
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,37,37,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,37,37,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,37,37,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,37,37,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,37,37,filter_head_miss,37,100.0,100.0
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,37,37,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,37,37,other_unclassifiable,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,39,39,layer1_real,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,39,39,fake_head_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,39,39,filter_head_miss,39,100.0,100.0
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,39,39,threshold_calibration_miss,0,0.0,0.0
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,39,39,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,36,36,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,36,36,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,36,36,filter_head_miss,31,86.11111111111111,86.11111111111111
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,36,36,threshold_calibration_miss,5,13.88888888888889,13.88888888888889
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,36,36,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,36,36,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,36,36,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,36,36,filter_head_miss,25,69.44444444444444,69.44444444444444
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,36,36,threshold_calibration_miss,11,30.555555555555557,30.555555555555557
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,36,36,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,31,36,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,31,36,fake_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,31,36,filter_head_miss,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,31,36,threshold_calibration_miss,31,100.0,86.11111111111111
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,31,36,other_unclassifiable,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,36,36,layer1_real,0,0.0,0.0
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,36,36,fake_head_miss,0,0.0,0.0
