id,source,ftype,source_stem,lab_deltaE_mean,lab_deltaE_median,changed_pixel_proportion,face_region_changed_proportion,eye_region_changed_proportion,face_region_coverage_of_changed_pixels,eye_region_coverage_of_changed_pixels,fft_logmag_diff_mean,fft_logmag_diff_std,fft_logmag_diff_absmean,image_width,image_height,face_bbox_w,face_bbox_h,face_bbox_area_frac
repl0001_smoothing_medium,DF40-cdf-DiT,smoothing_medium,27001,2.8869848251342773,2.2360680103302,0.4734649658203125,0.5381406436233611,0.5675200803212851,0.2910180798607754,0.14573463534113248,-0.28988897800445557,0.8663997054100037,0.692779004573822,256,256,130.53173828125,160.782470703125,0.32023949258473294
repl0001_whitening_medium,DF40-cdf-DiT,whitening_medium,27001,29.416912078857422,31.032241821289062,1.0,1.0,1.0,0.25604248046875,0.12158203125,-0.03615327924489975,0.767328143119812,0.5513955354690552,256,256,130.53173828125,160.782470703125,0.32023949258473294
repl0001_eye_enlarging,DF40-cdf-DiT,eye_enlarging,27001,0.20920419692993164,0.0,0.028900146484375,0.10810488676996424,0.23305722891566266,0.9577613516367476,0.9804646251319957,0.003131096251308918,0.43843233585357666,0.28196269273757935,256,256,130.53173828125,160.782470703125,0.32023949258473294
repl0001_face_reshaping,DF40-cdf-DiT,face_reshaping,27001,1.626564860343933,0.0,0.1542510986328125,0.37443384982121575,0.4626004016064257,0.6215253734296172,0.36462558116529825,-0.012854560278356075,0.704721987247467,0.5101206302642822,256,256,130.53173828125,160.782470703125,0.32023949258473294
repl0002_smoothing_medium,DF40-cdf-DiT,smoothing_medium,27935,2.843677043914795,2.2360680103302,0.45111083984375,0.5863847865668622,0.611086395586796,0.39216614801785954,0.23230956568799893,-0.3116770088672638,0.8714110255241394,0.7030523419380188,256,256,142.96966552734375,165.08782958984375,0.360146358933946
repl0002_whitening_medium,DF40-cdf-DiT,whitening_medium,27935,16.28201675415039,15.033296585083008,1.0,1.0,1.0,0.30169677734375,0.1714935302734375,-0.05560242384672165,0.7730938196182251,0.5597757697105408,256,256,142.96966552734375,165.08782958984375,0.360146358933946
repl0002_eye_enlarging,DF40-cdf-DiT,eye_enlarging,27935,0.37436074018478394,0.0,0.049163818359375,0.15430912401375682,0.28614645431088176,0.946927374301676,0.9981378026070763,-0.0023146686144173145,0.5216996669769287,0.34894514083862305,256,256,142.96966552734375,165.08782958984375,0.360146358933946
repl0002_face_reshaping,DF40-cdf-DiT,face_reshaping,27935,1.8201711177825928,0.0,0.173797607421875,0.27432733158001216,0.3992348073672035,0.4762071992976295,0.3939420544337138,-0.029089219868183136,0.7215347290039062,0.519245445728302,256,256,142.96966552734375,165.08782958984375,0.360146358933946
repl0003_smoothing_medium,DF40-cdf-DiT,smoothing_medium,5576,3.2218222618103027,2.4494898319244385,0.515625,0.6306659205372132,0.6103466295070545,0.33351089015151514,0.20738636363636365,0.2158011645078659,0.7569438219070435,0.5709177851676941,256,256,133.77243041992188,157.22665405273438,0.3209318792637106
repl0003_whitening_medium,DF40-cdf-DiT,whitening_medium,5576,25.421194076538086,26.038433074951172,0.9990997314453125,1.0,1.0,0.2729202620767598,0.1753592864670037,-0.11269769072532654,0.5975751876831055,0.41293561458587646,256,256,133.77243041992188,157.22665405273438,0.3209318792637106
repl0003_eye_enlarging,DF40-cdf-DiT,eye_enlarging,5576,0.473252534866333,0.0,0.0527801513671875,0.18242865137101288,0.3006444870231667,0.9424689216536571,0.9979762937265105,-0.005340415518730879,0.4135032892227173,0.26433536410331726,256,256,133.77243041992188,157.22665405273438,0.3209318792637106
repl0003_face_reshaping,DF40-cdf-DiT,face_reshaping,5576,2.3075573444366455,0.0,0.1798095703125,0.32132064913262454,0.42004877199094237,0.48727087576374745,0.4092837746096402,-0.02049380913376808,0.5589950680732727,0.3801301121711731,256,256,133.77243041992188,157.22665405273438,0.3209318792637106
repl0004_smoothing_medium,DF40-cdf-SiT,smoothing_medium,9691,2.6007132530212402,2.2360680103302,0.4466400146484375,0.5260436103854561,0.526383319967923,0.3370913190529876,0.2242492569437327,-0.2790695130825043,0.8665263056755066,0.6886634230613708,256,256,141.0284881591797,159.99667358398438,0.34430067422557187
repl0004_whitening_medium,DF40-cdf-SiT,whitening_medium,9691,30.804439544677734,31.016124725341797,1.0,1.0,1.0,0.2862091064453125,0.190277099609375,-0.03399886190891266,0.7629778385162354,0.5530332922935486,256,256,141.0284881591797,159.99667358398438,0.34430067422557187
repl0004_eye_enlarging,DF40-cdf-SiT,eye_enlarging,9691,0.2407952845096588,0.0,0.0324554443359375,0.11270459028629312,0.1697674418604651,0.9938881053126469,0.99529854254819,-0.005857817828655243,0.48539072275161743,0.32077136635780334,256,256,141.0284881591797,159.99667358398438,0.34430067422557187
repl0004_face_reshaping,DF40-cdf-SiT,face_reshaping,9691,1.027456521987915,0.0,0.1403350830078125,0.24838726875299888,0.36463512429831596,0.5065782320321844,0.4944003479395455,-0.02363543212413788,0.6692942976951599,0.4756452143192291,256,256,141.0284881591797,159.99667358398438,0.34430067422557187
repl0005_smoothing_medium,DF40-cdf-pixart,smoothing_medium,Celeb-real_id54_0008_089,0.9127343893051147,1.0,0.08062076568603516,0.0730234586033959,0.09635435419501305,0.3546376142990643,0.3007322237600104,-0.07718801498413086,0.8809656500816345,0.6672199368476868,1024,1024,638.6973876953125,779.2835693359375,0.47466886521219465
repl0005_whitening_medium,DF40-cdf-pixart,whitening_medium,Celeb-real_id54_0008_089,22.455533981323242,19.10497283935547,1.0,1.0,1.0,0.39153385162353516,0.25162601470947266,0.017102312296628952,0.8747618794441223,0.6591001152992249,1024,1024,638.6973876953125,779.2835693359375,0.47466886521219465
repl0005_eye_enlarging,DF40-cdf-pixart,eye_enlarging,Celeb-real_id54_0008_089,0.6531843543052673,0.0,0.06497573852539062,0.16530387063302424,0.2582234535662443,0.9960958140081019,1.0,0.0018843174912035465,0.663374125957489,0.47368323802948,1024,1024,638.6973876953125,779.2835693359375,0.47466886521219465
repl0005_face_reshaping,DF40-cdf-pixart,face_reshaping,Celeb-real_id54_0008_089,0.19921518862247467,0.0,0.016958236694335938,0.019921910204041864,0.044896891782800014,0.4599595096164661,0.6661792824204251,0.004185927100479603,0.3323960602283478,0.20829088985919952,1024,1024,638.6973876953125,779.2835693359375,0.47466886521219465
repl0006_smoothing_medium,DF40-cdf-ddim,smoothing_medium,YouTube-real_00025_121,3.946399688720703,2.4494898319244385,0.5204925537109375,0.5495586892563661,0.5963008953663159,0.31761015508193835,0.2674796986309402,-0.48124268651008606,0.6436964869499207,0.6303791999816895,256,256,140.84739685058594,164.56692504882812,0.3536807708867329
repl0006_whitening_medium,DF40-cdf-ddim,whitening_medium,YouTube-real_00025_121,9.477311134338379,8.124038696289062,0.9994049072265625,0.9994420208988536,0.9995425135612052,0.3008229384551964,0.23350687817762644,-0.17888666689395905,0.3655014634132385,0.28566062450408936,256,256,140.84739685058594,164.56692504882812,0.3536807708867329
repl0006_eye_enlarging,DF40-cdf-ddim,eye_enlarging,YouTube-real_00025_121,0.7952455878257751,0.0,0.0699462890625,0.22486557776199656,0.29952290699954254,0.9670593368237347,0.99978184991274,-0.06180129200220108,0.6973530650138855,0.4981216788291931,256,256,140.84739685058594,164.56692504882812,0.3536807708867329
repl0006_face_reshaping,DF40-cdf-ddim,face_reshaping,YouTube-real_00025_121,3.1164350509643555,0.0,0.2299652099609375,0.2868012579892462,0.4267041369845108,0.37515758741954747,0.43321611041072255,-0.1628715693950653,0.7579702734947205,0.5685111284255981,256,256,140.84739685058594,164.56692504882812,0.3536807708867329
repl0007_smoothing_medium,DF40-cdf-pixart,smoothing_medium,YouTube-real_00012_025,0.9741688370704651,1.0,0.10503196716308594,0.05113545240014413,0.056523207484710576,0.22291935278842137,0.15348575371819784,-0.047767505049705505,0.8577372431755066,0.6390362977981567,1024,1024,723.6181030273438,812.8287353515625,0.5609298587429166
repl0007_whitening_medium,DF40-cdf-pixart,whitening_medium,YouTube-real_00012_025,20.70808982849121,17.029386520385742,0.9999961853027344,1.0,1.0,0.45787699843215346,0.2852097900764087,0.0023364084772765636,0.8520883321762085,0.6336095333099365,1024,1024,723.6181030273438,812.8287353515625,0.5609298587429166
