source,filter_type,n_pairs,lab_deltaE_mean_of_means,lab_deltaE_median_of_means,lab_deltaE_std,changed_pixel_proportion_mean,changed_pixel_proportion_median,face_region_coverage_mean,face_region_coverage_median,eye_region_coverage_mean,eye_region_coverage_median,fft_logmag_diff_absmean_mean,fft_logmag_diff_absmean_median,fft_logmag_diff_std_mean,image_width_mean,image_height_mean,face_bbox_area_frac_mean,face_bbox_area_frac_median
DF40-cdf-DiT,eye_enlarging,36,0.3800361131628354,0.3675800561904907,0.12958884187452901,0.049886067708333336,0.04891204833984375,0.9632177348422447,0.9616271143450486,0.9963656964672639,0.9970358051261985,0.29417168555988205,0.28985862433910364,0.45472847753100926,256.0,256.0,0.3301601783604948,0.32870772712091423
DF40-cdf-DiT,face_reshaping,36,2.0418534013960095,2.000509321689606,0.4753098573314881,0.1769688924153646,0.17560577392578125,0.4667656564796511,0.45026974501395267,0.42644544351164965,0.4292692247103289,0.4590229077471627,0.4731145650148392,0.6513548253311051,256.0,256.0,0.3301601783604948,0.32870772712091423
DF40-cdf-DiT,smoothing_medium,36,3.250671148300171,3.2263734340667725,0.5372956456565336,0.5090077718098959,0.5115814208984375,0.30746735617507487,0.29971104232077844,0.20131752432432415,0.20310815013438,0.6367669171757169,0.6302216053009033,0.829023152589798,256.0,256.0,0.3301601783604948,0.32870772712091423
DF40-cdf-DiT,whitening_medium,36,23.773850176069473,25.50128173828125,5.632595764689718,0.9766913519965278,1.0,0.2823894143624594,0.2727974113118174,0.1831180545027501,0.17705535888671875,0.5074190199375153,0.5196142196655273,0.7122483568059074,256.0,256.0,0.3301601783604948,0.32870772712091423
DF40-cdf-SiT,eye_enlarging,42,0.3745246022230103,0.3684194982051849,0.13225648507733348,0.0485901605515253,0.05033111572265625,0.96622652828798,0.9683454525030264,0.9961679762319054,0.9976381337609344,0.3044246385494868,0.30502316355705256,0.4658391042834237,256.0,256.0,0.33421609177552947,0.33443799949930764
DF40-cdf-SiT,face_reshaping,42,2.030313503174555,1.9766771793365479,0.5301473636326919,0.17101324172247023,0.17162322998046875,0.4960485413523858,0.5076728078188044,0.44870571184163455,0.4589227479242873,0.4680934782539095,0.4748325049877167,0.6606598453862327,256.0,256.0,0.33421609177552947,0.33443799949930764
DF40-cdf-SiT,smoothing_medium,42,3.176054443631853,2.9835338592529297,0.5503209517394356,0.49586704799107145,0.47132110595703125,0.3239745543972973,0.32044742252868025,0.20855806471509536,0.20788618259215674,0.6535172760486603,0.6391338407993317,0.8431247486954644,256.0,256.0,0.33421609177552947,0.33443799949930764
DF40-cdf-SiT,whitening_medium,42,25.66350693929763,26.91579818725586,5.066637196382336,0.9865867978050595,1.0,0.28066600414504805,0.28106689453125,0.178796222194539,0.1828155517578125,0.5137824969632285,0.5192893147468567,0.7194603142284212,256.0,256.0,0.33421609177552947,0.33443799949930764
DF40-cdf-ddim,eye_enlarging,40,0.6441424239426852,0.619289368391037,0.13648518584677866,0.06739387512207032,0.068115234375,0.9564833759149742,0.9580409806563237,0.9983528931414897,0.999188468848663,0.32608966045081617,0.3331574499607086,0.4881341863423586,256.0,256.0,0.34221143845942137,0.34144252052675483
DF40-cdf-ddim,face_reshaping,40,2.9604258298873902,3.098675847053528,0.6624555645519524,0.21276359558105468,0.214752197265625,0.441959260232625,0.43423305141689994,0.45414834854067915,0.4458219808693246,0.4915451340377331,0.49845366179943085,0.6770913675427437,256.0,256.0,0.34221143845942137,0.34144252052675483
DF40-cdf-ddim,smoothing_medium,40,4.395110756158829,4.469664812088013,0.7311392825194358,0.6138195037841797,0.6396942138671875,0.3050154999337822,0.302320891539242,0.22927147344745138,0.21988438780152586,0.6694688707590103,0.6345046758651733,0.7218868732452393,256.0,256.0,0.34221143845942137,0.34144252052675483
DF40-cdf-ddim,whitening_medium,40,16.37272458076477,16.242392539978027,4.830955019203372,0.9668319702148438,0.9878616333007812,0.29335607319763357,0.2865824767415268,0.21602957942715487,0.21685911132452396,0.2896091990172863,0.28622215986251826,0.38590951040387156,256.0,256.0,0.34221143845942137,0.34144252052675483
DF40-cdf-pixart,eye_enlarging,43,0.5582456065471783,0.5635745525360107,0.17267852547772738,0.06202795339185134,0.0624780654907226,0.9820375101199216,0.9890309440259136,1.0,1.0,0.44863752431647724,0.4471639692783355,0.6353045521780502,1024.0,1024.0,0.38717595590913945,0.3766788424504064
DF40-cdf-pixart,face_reshaping,43,0.25044354311255523,0.2627799212932586,0.05573098279578915,0.01633954602618546,0.016545295715332,0.47042581806858497,0.4696714406065712,0.774597504682478,0.7756842522808409,0.22333583894164055,0.2217676043510437,0.35349052451377694,1024.0,1024.0,0.38717595590913945,0.3766788424504064
DF40-cdf-pixart,smoothing_medium,43,0.9020063488982445,0.8905551433563232,0.11286399413495062,0.09548178384470381,0.0948505401611328,0.30202054373378623,0.3022191416091802,0.24765709621591828,0.2491078955573776,0.6606904393018678,0.6654395461082458,0.8743711571360744,1024.0,1024.0,0.38717595590913945,0.3766788424504064
DF40-cdf-pixart,whitening_medium,43,23.592149601426236,24.293262481689453,2.82224142522035,0.9938172850497934,1.0,0.3176954214642797,0.312347412109375,0.2215714281134894,0.2211811267672794,0.6496769924496495,0.6532846689224243,0.8656758139299792,1024.0,1024.0,0.38717595590913945,0.3766788424504064
DF40-cdf-sd2.1,eye_enlarging,37,0.5322607803989101,0.4533925354480743,0.2424330173909308,0.0626923844620988,0.0544281005859375,0.979039608108927,0.98325873644345,0.9997117139551882,1.0,0.3858708376820023,0.3844334185123443,0.5616006359860704,512.0,512.0,0.4288168886033564,0.3953256128894793
DF40-cdf-sd2.1,face_reshaping,37,0.5917545738252433,0.5765805840492249,0.20545169772876934,0.047139038910736876,0.0484161376953125,0.4788167677991707,0.4673591574695231,0.531222956143674,0.5377358490566038,0.2885162125568132,0.2944537401199341,0.4390972441918141,512.0,512.0,0.4288168886033564,0.3953256128894793
DF40-cdf-sd2.1,smoothing_medium,37,1.8630936451860376,1.7314753532409668,0.6155157831578111,0.2562997147843644,0.2329635620117187,0.34696162651274115,0.3508659922077071,0.25352845810526753,0.2341824078453326,0.8361543803601652,0.7438860535621643,0.9139307270178924,512.0,512.0,0.4288168886033564,0.3953256128894793
DF40-cdf-sd2.1,whitening_medium,37,19.518051456760716,19.33370780944824,1.8215870956662,0.9983065837138408,1.0,0.33765164941789894,0.3224127337879661,0.22974914192671272,0.2153129577636718,0.5736116211156588,0.5762105584144592,0.7755977108671859,512.0,512.0,0.4288168886033564,0.3953256128894793
