filter_type,n_pairs,lab_deltaE_mean_of_means,changed_pixel_proportion_mean,face_region_coverage_mean,eye_region_coverage_mean,fft_logmag_diff_absmean_mean
eye_enlarging,198,0.4993699004102235,0.058178082861081504,0.9695392227989993,0.9981397435179953,0.35347594170257296
face_reshaping,198,1.5649541129518036,0.12379154051193084,0.4710126432570258,0.5319522822427156,0.3844701872028486
smoothing_medium,198,2.6966849297586113,0.39036506113379893,0.31667090740335707,0.22832089201407632,0.6893812646769514
whitening_medium,198,21.844773827177107,0.9845570699133054,0.3022335766185464,0.20591497036123355,0.5080305970076359
