model,source,filter_type,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,has_filter_recall,mean_filter_probability,median_filter_probability,calibration_threshold
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,42,42,0.0,"[0.0000, 0.0000]",0.6570294784580499,"[0.5351, 0.7727]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.4053555904399781,0.37262044847011566,0.95
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,42,42,0.0,"[0.0000, 0.0000]",0.9909297052154196,"[0.9745, 1.0000]",0.16666666666666666,"[0.0714, 0.2857]",1.0,0.16666666666666666,0.8437171422299885,0.8598605990409851,0.95
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,42,42,0.0,"[0.0000, 0.0000]",0.5402494331065759,"[0.4076, 0.6610]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.33146938575165613,0.3280658572912216,0.95
v816@0.95_calibrated,DF40-cdf-ddim,eye_enlarging,40,40,0.0,"[0.0000, 0.0000]",0.7112499999999999,"[0.5950, 0.8219]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.5428186569362878,0.5183390378952026,0.95
v816@0.95_calibrated,DF40-cdf-ddim,face_reshaping,40,40,0.0,"[0.0000, 0.0000]",0.6425000000000001,"[0.5075, 0.7613]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.5074544578790665,0.4605185389518738,0.95
v816@0.95_calibrated,DF40-cdf-ddim,smoothing_medium,40,40,0.0,"[0.0000, 0.0000]",0.9962500000000001,"[0.9875, 1.0000]",0.6,"[0.4500, 0.7500]",1.0,0.6,0.9346725359559059,0.960528552532196,0.95
v816@0.95_calibrated,DF40-cdf-ddim,whitening_medium,40,40,0.0,"[0.0000, 0.0000]",0.448125,"[0.3244, 0.5757]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3641890177503228,0.31762880086898804,0.95
v816@0.95_calibrated,DF40-cdf-pixart,eye_enlarging,43,43,0.0,"[0.0000, 0.0000]",0.5640886965927528,"[0.4386, 0.6820]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.3018900998109995,0.2609147727489471,0.95
v816@0.95_calibrated,DF40-cdf-pixart,face_reshaping,43,43,0.0,"[0.0000, 0.0000]",0.49972958355868036,"[0.3780, 0.6203]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.2651585883699184,0.2318675518035888,0.95
v816@0.95_calibrated,DF40-cdf-pixart,smoothing_medium,43,43,0.0,"[0.0000, 0.0000]",0.5116279069767442,"[0.3926, 0.6339]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.26832186759904375,0.2343371957540512,0.95
v816@0.95_calibrated,DF40-cdf-pixart,whitening_medium,43,43,0.0,"[0.0000, 0.0000]",0.5381287182260681,"[0.4072, 0.6631]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.28977674609699916,0.235957384109497,0.95
v816@0.95_calibrated,DF40-cdf-sd2.1,eye_enlarging,39,37,0.0,"[0.0000, 0.0000]",0.5107415107415108,"[0.3749, 0.6424]",0.0,"[0.0000, 0.0000]",1.0,0.0,0.29500237932881795,0.2919134795665741,0.95
