model,source,filter_type,resolution_condition,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,mean_filter_probability,median_filter_probability,calibration_threshold
CellC@0.85,DF40-cdf-SiT,eye_enlarging,canonical_512,42,42,0.0,"[0.0000, 0.0000]",0.5680272108843537,"[0.4433, 0.6961]",0.0,"[0.0000, 0.0000]",1.0,0.03714419155758579,0.0253047868609428,0.85
CellC@0.85,DF40-cdf-SiT,smoothing_medium,canonical_512,42,42,0.0,"[0.0000, 0.0000]",0.26530612244897955,"[0.1593, 0.3889]",0.0,"[0.0000, 0.0000]",1.0,0.024375792481892117,0.00771970441564915,0.85
CellC@0.85,DF40-cdf-SiT,face_reshaping,canonical_512,42,42,0.0,"[0.0000, 0.0000]",0.5323129251700681,"[0.4065, 0.6514]",0.0,"[0.0000, 0.0000]",1.0,0.03294292542462544,0.02265007421374315,0.85
CellC@0.85,DF40-cdf-SiT,whitening_medium,canonical_1024,42,42,0.0,"[0.0000, 0.0000]",0.35657596371882083,"[0.2415, 0.4728]",0.0,"[0.0000, 0.0000]",1.0,0.017604369459496325,0.0110068768262863,0.85
CellC@0.85,DF40-cdf-SiT,eye_enlarging,canonical_1024,42,42,0.0,"[0.0000, 0.0000]",0.5731292517006803,"[0.4472, 0.6978]",0.0,"[0.0000, 0.0000]",1.0,0.03336605480095988,0.0202146461233496,0.85
CellC@0.85,DF40-cdf-SiT,smoothing_medium,canonical_1024,42,42,0.0,"[0.0000, 0.0000]",0.18877551020408162,"[0.1020, 0.2891]",0.0,"[0.0000, 0.0000]",1.0,0.010153878516229268,0.00580241298303,0.85
CellC@0.85,DF40-cdf-SiT,face_reshaping,canonical_1024,42,42,0.0,"[0.0000, 0.0000]",0.5017006802721089,"[0.3821, 0.6298]",0.0,"[0.0000, 0.0000]",1.0,0.02647735515520681,0.01504573877900835,0.85
CellC@0.85,DF40-cdf-ddim,whitening_medium,native,40,40,0.0,"[0.0000, 0.0000]",0.38812500000000005,"[0.2656, 0.5100]",0.0,"[0.0000, 0.0000]",1.0,0.14530649103689935,0.0950392410159111,0.85
CellC@0.85,DF40-cdf-ddim,eye_enlarging,native,40,40,0.0,"[0.0000, 0.0000]",0.705,"[0.5781, 0.8181]",0.0,"[0.0000, 0.0000]",1.0,0.3065931098535657,0.25439203530550003,0.85
CellC@0.85,DF40-cdf-ddim,smoothing_medium,native,40,40,0.0,"[0.0000, 0.0000]",0.9125,"[0.8462, 0.9650]",0.3,"[0.1750, 0.4500]",1.0,0.6415077567100524,0.7323940098285675,0.85
CellC@0.85,DF40-cdf-ddim,face_reshaping,native,40,40,0.0,"[0.0000, 0.0000]",0.626875,"[0.4988, 0.7475]",0.0,"[0.0000, 0.0000]",1.0,0.27472058925777676,0.22900962829589838,0.85
CellC@0.85,DF40-cdf-ddim,whitening_medium,canonical_256,40,40,0.0,"[0.0000, 0.0000]",0.475625,"[0.3481, 0.6025]",0.0,"[0.0000, 0.0000]",1.0,0.19352820920757946,0.1285324171185493,0.85
CellC@0.85,DF40-cdf-ddim,eye_enlarging,canonical_256,40,40,0.0,"[0.0000, 0.0000]",0.6256250000000001,"[0.5019, 0.7450]",0.025,"[0.0000, 0.0750]",1.0,0.27162604257464407,0.19630849361419675,0.85
CellC@0.85,DF40-cdf-ddim,smoothing_medium,canonical_256,40,40,0.0,"[0.0000, 0.0000]",0.8975,"[0.8225, 0.9581]",0.325,"[0.2000, 0.4750]",1.0,0.6473163857124746,0.7597054541110992,0.85
